Year,Code,Area,Cancer Type,Age-Adjusted Rate,Case Count,Population,per_100k
2001,MS,Mississippi,Cervix,Data Suppressed,Data Suppressed,,
2001,MO,Missouri,Cervix,9.1,271,2895476,9.36
2001,MT,Montana,Cervix,10.1,48,454683,10.56
2001,NE,Nebraska,Cervix,7.6,66,871208,7.58
2001,NV,Nevada,Cervix,8.7,90,1030850,8.73
2001,NH,New Hampshire,Cervix,6.7,45,637412,7.06
2001,NJ,New Jersey,Cervix,10.3,478,4369932,10.94
2001,NM,New Mexico,Cervix,9.8,90,930387,9.67
2001,NY,New York,Cervix,9.1,953,9878713,9.65
2001,NC,North Carolina,Cervix,7.8,336,4187317,8.02
2001,ND,North Dakota,Cervix,4.9,16,319787,5.00
2001,OH,Ohio,Cervix,8,481,5853691,8.22
2001,OK,Oklahoma,Cervix,12.1,212,1760052,12.05
2001,OR,Oregon,Cervix,8,144,1747889,8.24
2001,PA,Pennsylvania,Cervix,8.5,568,6354395,8.94
2001,PR,Puerto Rico,,Data Suppressed,Data Suppressed,,
2001,RI,Rhode Island,Cervix,8.2,46,548974,8.38
2001,SC,South Carolina,Cervix,10,213,2089963,10.19
2001,SD,South Dakota,Cervix,8,30,381537,7.86
2001,TN,Tennessee,Cervix,7.7,237,2948421,8.04
2001,TX,Texas,Cervix,11.5,1177,10731190,10.97
2001,United States,United States,Cervix,9,13269,143603977,9.24
2001,UT,Utah,Cervix,6.2,60,1139182,5.27
2001,VT,Vermont,Cervix,6.7,22,311779,7.06
2001,VA,Virginia,Cervix,7.8,296,3665386,8.08
2001,WA,Washington,Cervix,7.4,225,3002080,7.49
2001,WV,West Virginia,Cervix,12.3,127,923643,13.75
2001,WI,Wisconsin,Cervix,6.7,186,2733647,6.80
2001,WY,Wyoming,Cervix,7.5,18,245327,7.34
2002,AL,Alabama,Cervix,10.8,261,2314370,11.28
2002,AK,Alaska,Cervix,7.8,23,309633,7.43
2002,AZ,Arizona,Cervix,7.6,201,2704217,7.43
2002,ArKS,Arkansas,Cervix,8.5,121,1383239,8.75
2002,CA,California,Cervix,9.1,1558,17498462,8.90
2002,CO,Colorado,Cervix,7.4,168,2228665,7.54
2002,CT,Connecticut,Cervix,6.2,121,1780500,6.80
2002,DE,Delaware,Cervix,8.7,37,414652,8.92
2002,DC,District of Columbia,Cervix,10.7,34,303146,11.22
2002,FL,Florida,Cervix,10.5,969,8541734,11.34
2002,GA,Georgia,Cervix,9.7,418,4327934,9.66
2002,HI,Hawaii,Cervix,7.1,47,616192,7.63
2002,ID,Idaho,Cervix,8.1,51,668686,7.63
2002,IL,Illinois,Cervix,9.4,607,6387897,9.50
2002,IN,Indiana,Cervix,9,284,3133342,9.06
2002,IA,Iowa,Cervix,7.7,119,1491450,7.98
2002,KS,Kansas,Cervix,7,96,1371898,7.00
2002,KY,Kentucky,Cervix,10.4,226,2087223,10.83
2002,LA,Louisiana,Cervix,10.2,232,2315524,10.02
2002,ME,Maine,Cervix,7.4,52,664226,7.83
2002,MD,Maryland,Cervix,8.5,249,2815197,8.84
2002,MA,Massachusetts,Cervix,6.8,238,3319436,7.17
2002,MI,Michigan,Cervix,8,416,5100171,8.16
2002,MN,Minnesota,Cervix,6.8,171,2531205,6.76
2002,MS,Mississippi,Cervix,Data Suppressed,Data Suppressed,,
2002,MO,Missouri,Cervix,8.6,256,2910476,8.80
2002,MT,Montana,Cervix,8.4,40,456712,8.76
2002,NE,Nebraska,Cervix,9,78,874803,8.92
2002,NV,Nevada,Cervix,9.5,103,1069764,9.63
2002,NH,New Hampshire,Cervix,7.9,54,643680,8.39
2002,NJ,New Jersey,Cervix,9.2,435,4398801,9.89
2002,NM,New Mexico,Cervix,8.5,80,941856,8.49
2002,NY,New York,Cervix,8.9,936,9902927,9.45
2002,NC,North Carolina,Cervix,7.8,343,4250179,8.07
2002,ND,North Dakota,Cervix,8.1,25,319017,7.84
2002,OH,Ohio,Cervix,8,487,5859385,8.31
2002,OK,Oklahoma,Cervix,9.3,163,1769080,9.21
2002,OR,Oregon,Cervix,7.2,131,1771126,7.40
2002,PA,Pennsylvania,Cervix,8.1,559,6363832,8.78
2002,PR,Puerto Rico,,Data Suppressed,Data Suppressed,,
2002,RI,Rhode Island,Cervix,6.3,36,553090,6.51
2002,SC,South Carolina,Cervix,10.4,227,2111069,10.75
2002,SD,South Dakota,Cervix,7.4,27,382328,7.06
2002,TN,Tennessee,Cervix,8,249,2971873,8.38
2002,TX,Texas,Cervix,10.3,1085,10914653,9.94
2002,United States,United States,Cervix,8.7,12919,144919222,8.91
2002,UT,Utah,Cervix,7,68,1158853,5.87
2002,VT,Vermont,Cervix,8.7,29,312959,9.27
2002,VA,Virginia,Cervix,7.4,284,3713695,7.65
2002,WA,Washington,Cervix,7.1,218,3036742,7.18
2002,WV,West Virginia,Cervix,9.5,97,923841,10.50
2002,WI,Wisconsin,Cervix,6.9,189,2751697,6.87
2002,WY,Wyoming,Cervix,8.5,21,247785,8.48
2003,AL,Alabama,Cervix,8.5,204,2324069,8.78
2003,AK,Alaska,Cervix,6.5,18,313034,5.75
2003,AZ,Arizona,Cervix,7.5,201,2764077,7.27
2003,ArKS,Arkansas,Cervix,10,143,1391523,10.28
2003,CA,California,Cervix,8.3,1452,17709509,8.20
2003,CO,Colorado,Cervix,7.2,164,2253214,7.28
2003,CT,Connecticut,Cervix,6.8,130,1793468,7.25
2003,DE,Delaware,Cervix,5.9,26,420802,6.18
2003,DC,District of Columbia,Cervix,17,52,300607,17.30
2003,FL,Florida,Cervix,9.5,879,8697573,10.11
2003,GA,Georgia,Cervix,10,440,4394952,10.01
2003,HI,Hawaii,Cervix,9.1,58,623753,9.30
2003,ID,Idaho,Cervix,6.5,43,679877,6.32
2003,IL,Illinois,Cervix,9.6,625,6402859,9.76
2003,IN,Indiana,Cervix,8.4,266,3152366,8.44
2003,IA,Iowa,Cervix,7.6,116,1493907,7.76
2003,KS,Kansas,Cervix,8.1,110,1377415,7.99
2003,KY,Kentucky,Cervix,9,196,2102308,9.32
2003,LA,Louisiana,Cervix,9.3,214,2327153,9.20
2003,ME,Maine,Cervix,7.6,55,668680,8.23
2003,MD,Maryland,Cervix,9.3,275,2843847,9.67
2003,MA,Massachusetts,Cervix,5.3,188,3320817,5.66
2003,MI,Michigan,Cervix,8,420,5110521,8.22
2003,MN,Minnesota,Cervix,6.7,172,2546999,6.75
2003,MS,Mississippi,Cervix,8.7,129,1479611,8.72
2003,MO,Missouri,Cervix,8.2,247,2926556,8.44
2003,MT,Montana,Cervix,6.5,31,460116,6.74
